date,county,ncase
17/04/2020,Louth,405
17/04/2020,Mayo,312
17/04/2020,Meath,500
17/04/2020,Offaly,187
17/04/2020,Roscommon,76
17/04/2020,Sligo,76
17/04/2020,Tipperary,292
17/04/2020,Wexford,98
17/04/2020,Kerry,262
17/04/2020,Waterford,112
17/04/2020,Westmeath,358
17/04/2020,Wicklow,427
17/04/2020,Galway,283
17/04/2020,Limerick,384
17/04/2020,Cork,1028
17/04/2020,Dublin,7379
18/04/2020,Laois,170
18/04/2020,Leitrim,49
18/04/2020,Monaghan,187
18/04/2020,Carlow,78
18/04/2020,Cavan,401
18/04/2020,Clare,160
18/04/2020,Donegal,383
18/04/2020,Kildare,817
18/04/2020,Kilkenny,206
18/04/2020,Longford,91
18/04/2020,Louth,437
18/04/2020,Mayo,332
18/04/2020,Meath,513
18/04/2020,Offaly,190
18/04/2020,Roscommon,91
18/04/2020,Sligo,78
18/04/2020,Tipperary,300
18/04/2020,Wexford,100
18/04/2020,Kerry,268
18/04/2020,Waterford,113
18/04/2020,Westmeath,369
18/04/2020,Wicklow,444
18/04/2020,Galway,294
18/04/2020,Limerick,401
18/04/2020,Cork,1047
18/04/2020,Dublin,7666
19/04/2020,Laois,177
19/04/2020,Leitrim,54
19/04/2020,Monaghan,199
19/04/2020,Carlow,79
19/04/2020,Cavan,403
19/04/2020,Clare,164
19/04/2020,Donegal,392
19/04/2020,Kildare,822
19/04/2020,Kilkenny,210
19/04/2020,Longford,94
19/04/2020,Louth,469
19/04/2020,Mayo,335
19/04/2020,Meath,522
19/04/2020,Offaly,195
19/04/2020,Roscommon,91
19/04/2020,Sligo,93
19/04/2020,Tipperary,306
19/04/2020,Wexford,114
19/04/2020,Kerry,268
19/04/2020,Waterford,117
19/04/2020,Westmeath,377
19/04/2020,Wicklow,446
19/04/2020,Galway,294
19/04/2020,Limerick,409
19/04/2020,Cork,1053
19/04/2020,Dublin,7781
20/04/2020,Laois,177
20/04/2020,Leitrim,55
20/04/2020,Monaghan,220
20/04/2020,Carlow,80
20/04/2020,Cavan,430
20/04/2020,Clare,165
20/04/2020,Donegal,416
20/04/2020,Kildare,851
20/04/2020,Kilkenny,216
20/04/2020,Longford,101
20/04/2020,Louth,489
20/04/2020,Mayo,339
20/04/2020,Meath,539
20/04/2020,Offaly,198
20/04/2020,Roscommon,91
20/04/2020,Sligo,97
20/04/2020,Tipperary,320
20/04/2020,Wexford,137
20/04/2020,Kerry,268
20/04/2020,Waterford,119
20/04/2020,Westmeath,386
20/04/2020,Wicklow,463
20/04/2020,Galway,309
20/04/2020,Limerick,415
20/04/2020,Cork,1077
20/04/2020,Dublin,7905
21/04/2020,Laois,192
21/04/2020,Leitrim,56
21/04/2020,Monaghan,249
21/04/2020,Carlow,84
21/04/2020,Cavan,466
21/04/2020,Clare,187
21/04/2020,Donegal,431
21/04/2020,Kildare,875
21/04/2020,Kilkenny,222
21/04/2020,Longford,102
21/04/2020,Louth,506
21/04/2020,Mayo,365
21/04/2020,Meath,550
21/04/2020,Offaly,205
21/04/2020,Roscommon,92
21/04/2020,Sligo,98
21/04/2020,Tipperary,327
21/04/2020,Wexford,137
21/04/2020,Kerry,271
21/04/2020,Waterford,122
21/04/2020,Westmeath,395
21/04/2020,Wicklow,469
21/04/2020,Galway,315
21/04/2020,Limerick,420
21/04/2020,Cork,1087
21/04/2020,Dublin,8216
22/04/2020,Laois,202
22/04/2020,Leitrim,62
22/04/2020,Monaghan,318
22/04/2020,Carlow,86
22/04/2020,Cavan,506
22/04/2020,Clare,206
22/04/2020,Donegal,440
